Notes,Year,Year Code,Month,Month Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Feb., 1999",1999/02,New Hampshire,33,50,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,New Jersey,34,784,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,New Mexico,35,116,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,New York,36,1476,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Feb., 1999",1999/02,North Carolina,37,515,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,North Dakota,38,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Ohio,39,848,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Oklahoma,40,191,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Oregon,41,249,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Pennsylvania,42,1248,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Feb., 1999",1999/02,Rhode Island,44,132,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,South Carolina,45,282,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,South Dakota,46,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Tennessee,47,360,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Texas,48,1247,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Feb., 1999",1999/02,Utah,49,124,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Vermont,50,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Virginia,51,535,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Washington,53,470,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,West Virginia,54,145,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Wisconsin,55,331,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Feb., 1999",1999/02,Wyoming,56,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Alabama,1,399,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Alaska,2,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,1999,1999,"Mar., 1999",1999/03,Arizona,4,459,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Arkansas,5,147,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,California,6,1846,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Mar., 1999",1999/03,Colorado,8,294,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Connecticut,9,281,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Delaware,10,69,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,District of Columbia,11,43,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Florida,12,1559,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"Mar., 1999",1999/03,Georgia,13,513,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Mar., 1999",1999/03,Hawaii,15,53,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
