,State,Month,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Deaths,% of Total Deaths,T-1,D-1,o3-1,SO2-1,CO-1,C_D,C_o3,C_SO2,C_CO
10,California,1,2010,18.630921508032127,0.0156263420348058,1.0065242640562249,0.5441855341365462,2181,0.10%,0.0,2081.0,0.0151257646326276,1.209684095890411,0.5683628854296389,100.0,0.000500577402178199,-0.20315983183418607,-0.02417735129309262
11,California,2,2000,17.639380305084746,0.0212470184899845,1.258260000770416,0.6705967457627119,2017,0.10%,1.0,2181.0,0.0156263420348058,1.0065242640562249,0.5441855341365462,0.0,0.0,0.0,0.0
12,California,2,2001,19.16543412176681,0.0196165885395941,1.4812128380421807,0.7428127616394747,2207,0.10%,0.0,2017.0,0.0212470184899845,1.258260000770416,0.6705967457627119,190.0,-0.001630429950390401,0.22295283727176463,0.07221601587676285
13,California,2,2002,22.954635950841748,0.0187329656565656,1.9481203016835016,0.8802273040404041,2360,0.10%,0.0,2207.0,0.0196165885395941,1.4812128380421807,0.7428127616394747,153.0,-0.0008836228830284981,0.46690746364132085,0.13741454240092932
14,California,2,2003,16.90911416761543,0.0201745812776723,1.4215028080328906,0.6432635907653383,2074,0.10%,0.0,2360.0,0.0187329656565656,1.9481203016835016,0.8802273040404041,-286.0,0.0014416156211066976,-0.526617493650611,-0.2369637132750657
15,California,2,2004,18.607423828148143,0.0205900711111111,1.398400368148148,0.6477130370370371,2235,0.10%,0.0,2074.0,0.0201745812776723,1.4215028080328906,0.6432635907653383,161.0,0.00041548983343880214,-0.023102439884742587,0.004449446271698743
16,California,2,2005,15.65357802616279,0.019561863372093,1.4233021395348835,0.5062851359011628,2114,0.10%,0.0,2235.0,0.0205900711111111,1.398400368148148,0.6477130370370371,-121.0,-0.0010282077390181,0.02490177138673544,-0.14142790113587433
17,California,2,2006,19.887989789156627,0.021294188253012,1.3753535195783133,0.6230832899096386,2110,0.10%,0.0,2114.0,0.019561863372093,1.4233021395348835,0.5062851359011628,-4.0,0.0017323248809189978,-0.04794861995657018,0.11679815400847582
18,California,2,2007,15.424664917573876,0.0230786143079315,1.515449135303266,0.5057677869362364,2154,0.10%,0.0,2110.0,0.021294188253012,1.3753535195783133,0.6230832899096386,44.0,0.0017844260549195017,0.14009561572495266,-0.11731550297340221
19,California,2,2008,15.445909746107784,0.0222157508982035,1.035702086227545,0.5207524538922156,2746,0.10%,0.0,2154.0,0.0230786143079315,1.515449135303266,0.5057677869362364,592.0,-0.000862863409728,-0.47974704907572097,0.01498466695597922
20,California,2,2009,14.49566626684636,0.0219731711590296,1.0555196556603774,0.4258861590296495,1954,0.10%,0.0,2746.0,0.0222157508982035,1.035702086227545,0.5207524538922156,-792.0,-0.00024257973917389888,0.019817569432832416,-0.09486629486256609
21,California,2,2010,14.927041459415584,0.0207838660714285,0.7760483534902597,0.4252029626623376,1950,0.10%,0.0,1954.0,0.0219731711590296,1.0555196556603774,0.4258861590296495,-4.0,-0.0011893050876011016,-0.27947130217011773,-0.0006831963673119001
22,California,3,2000,16.930086956580734,0.026984316824966,1.5608092947761192,0.5726308032564451,2107,0.10%,1.0,1950.0,0.0207838660714285,0.7760483534902597,0.4252029626623376,0.0,0.0,0.0,0.0
23,California,3,2001,17.245874770731707,0.0261411365853658,1.9184607597560976,0.6181470018292683,2338,0.10%,0.0,2107.0,0.026984316824966,1.5608092947761192,0.5726308032564451,231.0,-0.0008431802396001997,0.35765146497997846,0.045516198572823185
24,California,3,2002,16.551779040626812,0.0274971804991294,1.4674207167730702,0.558300880441091,2492,0.10%,0.0,2338.0,0.0261411365853658,1.9184607597560976,0.6181470018292683,154.0,0.0013560439137636007,-0.45104004298302747,-0.05984612138817724
25,California,3,2003,15.486808358128377,0.0263426160767846,1.3069478842231554,0.5358134961007799,2359,0.10%,0.0,2492.0,0.0274971804991294,1.4674207167730702,0.558300880441091,-133.0,-0.0011545644223448018,-0.16047283254991473,-0.022487384340311167
